Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),,,States,Concentration,Pesticide Data Table in 2018,,,
CA1801020513GKOH1,GK,AGW,Chlorantraniliprole,I,0.7046,0.01,M,LU,,,,O,805,52,11,,,CA,0.7046,,,,
CA1801020628GKOH1,GK,B75,Boscalid,A,0.0166,0.01,M,LU,,Q,,O,805,52,60,,,CA,0.0166,,,,
CA1801020628GKOH1,GK,A61,Triflumizole,L,0.1275,0.002,M,LU,,,,O,805,52,40,,,CA,0.1275,,,,
CA1801020628GKOH1,GK,AKG,Fluopyram,A,0.0033,0.002,M,LU,,Q,,O,805,52,50,,,CA,0.0033,,,,
CA1801020628GKOH1,GK,134,DCPA,A,0.0076,0.001,M,GT,,,,O,805,35,5,,,CA,0.0076,,,,
CA1801020010GKOH1,GK,AGX,Mandipropamid,N,0.5004,0.005,M,LU,,,,O,805,52,25,,,CA,0.5004,,,,
CA1801020017GKOH1,GK,AES,Methoxyfenozide,I,0.1148,0.01,M,LU,,,,O,805,52,30,,,CA,0.1148,,,,
CA1801020043GKOH1,GK,B61,Pyraclostrobin,F,0.0033,0.002,M,LU,,Q,,O,805,52,16,,,CA,0.0033,,,,
CA1801020150GKOH1A,GK,910,"DDE p,p'",A,0.0071,0.001,M,GT,,,,O,805,35,0.5 AL,,,CA,0.0071,,,,
CA1801020476GKOH1,GK,AGX,Mandipropamid,N,1.5158,0.005,M,LU,,,,O,805,52,25,,,CA,1.5158,,,,
CA1801020513GKOH1,GK,AGX,Mandipropamid,N,0.4324,0.005,M,LU,,,,O,805,52,25,,,CA,0.4324,,,,
CA1801020560GKOH1,GK,134,DCPA,A,0.0017,0.001,M,GT,,Q,,O,805,35,5,,,CA,0.0017,,,,
CA1801020628GKOH1,GK,AHM,Spirotetramat,I,0.0246,0.005,M,LU,,,,O,805,52,8,,,CA,0.0246,,,,
CA1801030486GKOH1,GK,134,DCPA,A,0.0017,0.001,M,GT,,Q,,O,805,35,5,,,CA,0.0017,,,,
CA1801160561PDWA1P,PD,B61,Pyraclostrobin,F,0.0052,0.0033,M,LU,,,,O,805,64,2.5,,,CA,0.0052,,,,
CA1801160561PDWA1P,PD,B75,Boscalid,A,0.018,0.0033,M,LU,,,,O,805,64,3.5,,,CA,0.018,,,,
CA1801160004RANY1P,RA,70,Piperonyl butoxide,I,0.013,0.0015,M,GT,,,,O,805,35,10,,,CA,0.013,,,,
CA1801160004RANY1P,RA,58,MGK-264,F,0.013,0.0015,M,GT,,,,O,805,35,5,,,CA,0.013,,,,
CA1801160004RANY1P,RA,B79,Trifloxystrobin,F,0.0017,0.001,M,LU,,Q,,O,805,52,5,,,CA,0.0017,,,,
CA1801160004RANY1P,RA,B75,Boscalid,A,0.0017,0.001,M,GT,,Q,,O,805,35,8.5,,,CA,0.0017,,,,
CA1801160004RANY1P,RA,B72,Tetraconazole,L,0.0017,0.001,M,LU,,Q,,O,805,52,0.2,,,CA,0.0017,,,,
CA1801160004RANY1P,RA,967,Imidacloprid,A,0.009,0.001,M,LU,,,,O,805,64,1.5,,,CA,0.009,,,,
CA1801160004RANY1P,RA,A58,Tebuconazole,L,0.0054,0.001,M,LU,,,,O,805,52,5,,,CA,0.0054,,,,
CA1801160004RANY1P,RA,AES,Methoxyfenozide,I,0.041,0.001,M,LU,,,,O,805,52,1.5,,,CA,0.041,,,,
CA1801160146RANY1U,RA,B75,Boscalid,A,0.14,0.001,M,GT,,,,O,805,35,8.5,,,CA,0.14,,,,
CA1801160146RANY1U,RA,AES,Methoxyfenozide,I,0.099,0.001,M,LU,,,,O,805,52,1.5,,,CA,0.099,,,,
CA1801160146RANY1U,RA,A58,Tebuconazole,L,0.0017,0.001,M,LU,,Q,,O,805,52,5,,,CA,0.0017,,,,
CA1801160146RANY1U,RA,679,Myclobutanil,L,0.0017,0.001,M,LU,,Q,,O,805,52,10,,,CA,0.0017,,,,
CA1801160146RANY1U,RA,160,Chlorpyrifos,C,0.0017,0.001,M,GT,,Q,,O,805,35,0.01,,,CA,0.0017,,,,
CA1801160146RANY1U,RA,808,Fenpropathrin,O,0.0037,0.0022,M,GT,,Q,,O,805,35,10,,,CA,0.0037,,,,
CA1801160146RANY1U,RA,B72,Tetraconazole,L,0.0096,0.001,M,LU,,,,O,805,52,0.2,,,CA,0.0096,,,,
CA1801160146RANY1U,RA,AGW,Chlorantraniliprole,I,0.0085,0.0015,M,LU,,,E,O,805,52,5,,,CA,0.0085,,,,
CA1801160146RANY1U,RA,967,Imidacloprid,A,0.0085,0.001,M,LU,,,,O,805,64,1.5,,,CA,0.0085,,,,
CA1801160146RANY1U,RA,B85,Spirodiclofen,I,0.0075,0.0045,M,LU,,Q,,O,805,64,6,,,CA,0.0075,,,,
CA1801160146RANY1U,RA,B57,Quinoxyfen,I,0.0072,0.0012,M,GT,,,,O,805,35,2,,,CA,0.0072,,,,
CA1801160146RANY1U,RA,930,Bifenthrin,O,0.0054,0.001,M,GT,,,,O,805,35,0.2,,,CA,0.0054,,,,
CA1801160146RANY1U,RA,B79,Trifloxystrobin,F,0.0045,0.001,M,LU,,,,O,805,52,5,,,CA,0.0045,,,,
CA1801160146RANY1U,RA,B22,Cyprodinil,V,0.01,0.003,M,GT,,,,O,805,35,5,,,CA,0.01,,,,
CA1801160146RANY1U,RA,B61,Pyraclostrobin,F,0.044,0.001,M,LU,,,,O,805,64,7,,,CA,0.044,,,,
CA1801160146RANY1V,RA,AES,Methoxyfenozide,I,0.035,0.001,M,LU,,,,O,805,52,1.5,,,CA,0.035,,,,
CA1801160146RANY1V,RA,B85,Spirodiclofen,I,0.074,0.0045,M,LU,,,,O,805,64,6,,,CA,0.074,,,,
CA1801160146RANY1V,RA,B79,Trifloxystrobin,F,0.0017,0.001,M,LU,,Q,,O,805,52,5,,,CA,0.0017,,,,
CA1801160146RANY1V,RA,B48,Azoxystrobin,F,0.0017,0.001,M,LU,,Q,,O,805,64,2,,,CA,0.0017,,,,
CA1801160146RANY1V,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,CA,0.0017,,,,
CA1801160146RANY1V,RA,B10,Hexythiazox,A,0.003,0.0018,M,LU,,Q,,O,805,64,1,,,CA,0.003,,,,
CA1801160146RANY1V,RA,AHS,Flubendiamide,I,0.0086,0.001,M,LU,,,,O,805,64,1.4,,,CA,0.0086,,,,
CA1801160146RANY1V,RA,A58,Tebuconazole,L,0.0053,0.001,M,LU,,,,O,805,52,5,,,CA,0.0053,,,,
CA1801160146RANY1V,RA,B72,Tetraconazole,L,0.0051,0.001,M,LU,,,,O,805,52,0.2,,,CA,0.0051,,,,
CA1801160146RANY1V,RA,B52,Buprofezin,F,0.0051,0.001,M,LU,,,,O,805,52,2.5,,,CA,0.0051,,,,
CA1801160146RANY1V,RA,AFM,Flutriafol,L,0.0051,0.001,M,LU,,,,O,805,64,2.4,,,CA,0.0051,,,,
CA1801160146RANY1V,RA,713,Oxyfluorfen,A,0.0048,0.001,M,GT,,,,O,805,35,0.05,,,CA,0.0048,,,,
CA1801160146RANY1V,RA,679,Myclobutanil,L,0.0041,0.001,M,LU,,,,O,805,52,10,,,CA,0.0041,,,,
CA1801160146RANY1V,RA,B61,Pyraclostrobin,F,0.02,0.001,M,LU,,,,O,805,64,7,,,CA,0.02,,,,
CA1801160146RANY1V,RA,B57,Quinoxyfen,I,0.017,0.0012,M,GT,,,,O,805,35,2,,,CA,0.017,,,,
CA1801160146RANY1V,RA,AHM,Spirotetramat,I,0.013,0.0015,M,LU,,,,O,805,52,3,,,CA,0.013,,,,
CA1801160146RANY1V,RA,AFS,Fenpyroximate,F,0.013,0.003,M,LU,,,,O,805,52,1,,,CA,0.013,,,,
CA1801160146RANY1V,RA,AGW,Chlorantraniliprole,I,0.011,0.0015,M,LU,,,E,O,805,52,5,,,CA,0.011,,,,
CA1801160146RANY1V,RA,967,Imidacloprid,A,0.011,0.001,M,LU,,,,O,805,64,1.5,,,CA,0.011,,,,
CA1801160149RANY1P,RA,B79,Trifloxystrobin,F,0.0017,0.001,M,LU,,Q,,O,805,52,5,,,CA,0.0017,,,,
CA1801160149RANY1P,RA,160,Chlorpyrifos,C,0.0017,0.001,M,GT,,Q,,O,805,35,0.01,,,CA,0.0017,,,,
CA1801160149RANY1P,RA,B80,Acetamiprid,A,0.0033,0.001,M,LU,,,,O,805,52,0.35,,,CA,0.0033,,,,
CA1801160149RANY1P,RA,B72,Tetraconazole,L,0.0094,0.001,M,LU,,,,O,805,52,0.2,,,CA,0.0094,,,,
CA1801160149RANY1P,RA,AGW,Chlorantraniliprole,I,0.0084,0.0015,M,LU,,,E,O,805,52,5,,,CA,0.0084,,,,
CA1801160149RANY1P,RA,B57,Quinoxyfen,I,0.0075,0.0012,M,GT,,,,O,805,35,2,,,CA,0.0075,,,,
CA1801160149RANY1P,RA,B22,Cyprodinil,V,0.0057,0.003,M,GT,,,,O,805,35,5,,,CA,0.0057,,,,
CA1801160149RANY1P,RA,930,Bifenthrin,O,0.0041,0.001,M,GT,,,,O,805,35,0.2,,,CA,0.0041,,,,
CA1801160149RANY1P,RA,B48,Azoxystrobin,F,0.016,0.001,M,LU,,,,O,805,64,2,,,CA,0.016,,,,
CA1801160149RANY1P,RA,B61,Pyraclostrobin,F,0.011,0.001,M,LU,,,,O,805,64,7,,,CA,0.011,,,,
CA1801160149RANY1P,RA,AHM,Spirotetramat,I,0.048,0.0015,M,LU,,,,O,805,52,3,,,CA,0.048,,,,
CA1801160149RANY1P,RA,A58,Tebuconazole,L,0.036,0.001,M,LU,,,,O,805,52,5,,,CA,0.036,,,,
CA1801160149RANY1P,RA,AES,Methoxyfenozide,I,0.034,0.001,M,LU,,,,O,805,52,1.5,,,CA,0.034,,,,
CA1801160149RANY1P,RA,967,Imidacloprid,A,0.031,0.001,M,LU,,,,O,805,64,1.5,,,CA,0.031,,,,
CA1801160273RANY1P,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,CA,0.0017,,,,
CA1801160273RANY1P,RA,102,Carbaryl,E,0.0017,0.001,M,LU,,Q,,O,805,64,12,,,CA,0.0017,,,,
CA1801160273RANY1P,RA,AES,Methoxyfenozide,I,0.012,0.001,M,LU,,,,O,805,52,1.5,,,CA,0.012,,,,
CA1801160404RANY1P,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,CA,0.0017,,,,
CA1801160404RANY1P,RA,AES,Methoxyfenozide,I,0.0049,0.001,M,LU,,,,O,805,52,1.5,,,CA,0.0049,,,,
CA1801160521RANY1,RA,AHM,Spirotetramat,I,0.025,0.0015,M,LU,,,,O,805,52,3,,,CA,0.025,,,,
CA1801160521RANY1,RA,B75,Boscalid,A,0.08,0.001,M,GT,,,,O,805,35,8.5,,,CA,0.08,,,,
CA1801160521RANY1,RA,B52,Buprofezin,F,0.0017,0.001,M,LU,,Q,,O,805,52,2.5,,,CA,0.0017,,,,
CA1801160521RANY1,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,CA,0.0017,,,,
CA1801160521RANY1,RA,A58,Tebuconazole,L,0.0041,0.001,M,LU,,,,O,805,52,5,,,CA,0.0041,,,,
CA1801160521RANY1,RA,679,Myclobutanil,L,0.0036,0.001,M,LU,,,,O,805,52,10,,,CA,0.0036,,,,
CA1801160521RANY1,RA,B80,Acetamiprid,A,0.0071,0.001,M,LU,,,,O,805,52,0.35,,,CA,0.0071,,,,
CA1801160521RANY1,RA,B57,Quinoxyfen,I,0.0065,0.0012,M,GT,,,,O,805,35,2,,,CA,0.0065,,,,
CA1801160521RANY1,RA,B72,Tetraconazole,L,0.0062,0.001,M,LU,,,,O,805,52,0.2,,,CA,0.0062,,,,
CA1801160521RANY1,RA,AHS,Flubendiamide,I,0.0058,0.001,M,LU,,,,O,805,64,1.4,,,CA,0.0058,,,,
CA1801160521RANY1,RA,AFM,Flutriafol,L,0.0051,0.001,M,LU,,,,O,805,64,2.4,,,CA,0.0051,,,,
CA1801160521RANY1,RA,B61,Pyraclostrobin,F,0.024,0.001,M,LU,,,,O,805,64,7,,,CA,0.024,,,,
CA1801160521RANY1,RA,AFS,Fenpyroximate,F,0.023,0.003,M,LU,,,,O,805,52,1,,,CA,0.023,,,,
CA1801160521RANY1,RA,967,Imidacloprid,A,0.014,0.001,M,LU,,,,O,805,64,1.5,,,CA,0.014,,,,
CA1801160521RANY1,RA,B79,Trifloxystrobin,F,0.012,0.001,M,LU,,,,O,805,52,5,,,CA,0.012,,,,
CA1801160533RANY1,RA,A58,Tebuconazole,L,0.14,0.001,M,LU,,,,O,805,52,5,,,CA,0.14,,,,
CA1801160533RANY1,RA,AHM,Spirotetramat,I,0.12,0.0015,M,LU,,,,O,805,52,3,,,CA,0.12,,,,
CA1801160533RANY1,RA,B52,Buprofezin,F,0.0017,0.001,M,LU,,Q,,O,805,52,2.5,,,CA,0.0017,,,,
CA1801160533RANY1,RA,B48,Azoxystrobin,F,0.0017,0.001,M,LU,,Q,,O,805,64,2,,,CA,0.0017,,,,
CA1801160533RANY1,RA,AKG,Fluopyram,A,0.0017,0.001,M,LU,,Q,,O,805,64,3,,,CA,0.0017,,,,
CA1801160533RANY1,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,CA,0.0017,,,,
CA1801160533RANY1,RA,102,Carbaryl,E,0.0017,0.001,M,LU,,Q,,O,805,64,12,,,CA,0.0017,,,,
CA1801160533RANY1,RA,B75,Boscalid,A,0.0038,0.001,M,GT,,,,O,805,35,8.5,,,CA,0.0038,,,,
CA1801160533RANY1,RA,B79,Trifloxystrobin,F,0.0093,0.001,M,LU,,,,O,805,52,5,,,CA,0.0093,,,,
CA1801160533RANY1,RA,AES,Methoxyfenozide,I,0.0069,0.001,M,LU,,,,O,805,52,1.5,,,CA,0.0069,,,,
CA1801160533RANY1,RA,B80,Acetamiprid,A,0.0046,0.001,M,LU,,,,O,805,52,0.35,,,CA,0.0046,,,,
CA1801160533RANY1,RA,B57,Quinoxyfen,I,0.014,0.0012,M,GT,,,,O,805,35,2,,,CA,0.014,,,,
CA1801160533RANY1,RA,679,Myclobutanil,L,0.014,0.001,M,LU,,,,O,805,52,10,,,CA,0.014,,,,
CA1801160533RANY1,RA,B72,Tetraconazole,L,0.011,0.001,M,LU,,,,O,805,52,0.2,,,CA,0.011,,,,
CA1801160533RANY1,RA,B22,Cyprodinil,V,0.049,0.003,M,GT,,,,O,805,35,5,,,CA,0.049,,,,
CA1801160533RANY1,RA,AGW,Chlorantraniliprole,I,0.029,0.0015,M,LU,,,E,O,805,52,5,,,CA,0.029,,,,
CA1801160540RANY1,RA,AES,Methoxyfenozide,I,0.06,0.001,M,LU,,,,O,805,52,1.5,,,CA,0.06,,,,
CA1801160540RANY1,RA,AHS,Flubendiamide,I,0.044,0.001,M,LU,,,,O,805,64,1.4,,,CA,0.044,,,,
CA1801160540RANY1,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,CA,0.0017,,,,
CA1801160540RANY1,RA,679,Myclobutanil,L,0.0017,0.001,M,LU,,Q,,O,805,52,10,,,CA,0.0017,,,,
CA1801160540RANY1,RA,AFM,Flutriafol,L,0.0049,0.001,M,LU,,,,O,805,64,2.4,,,CA,0.0049,,,,
CA1801160540RANY1,RA,A58,Tebuconazole,L,0.0049,0.001,M,LU,,,,O,805,52,5,,,CA,0.0049,,,,
CA1801160540RANY1,RA,AHM,Spirotetramat,I,0.0025,0.0015,M,LU,,Q,,O,805,52,3,,,CA,0.0025,,,,
CA1801160540RANY1,RA,AFS,Fenpyroximate,F,0.0096,0.003,M,LU,,,,O,805,52,1,,,CA,0.0096,,,,
CA1801160540RANY1,RA,B52,Buprofezin,F,0.0075,0.001,M,LU,,,,O,805,52,2.5,,,CA,0.0075,,,,
CA1801160540RANY1,RA,B79,Trifloxystrobin,F,0.0052,0.001,M,LU,,,,O,805,52,5,,,CA,0.0052,,,,
CA1801160540RANY1,RA,B57,Quinoxyfen,I,0.005,0.0012,M,GT,,,,O,805,35,2,,,CA,0.005,,,,
CA1801160540RANY1,RA,B61,Pyraclostrobin,F,0.021,0.001,M,LU,,,,O,805,64,7,,,CA,0.021,,,,
