Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),,,Pesticide Data Table in 2022,,
CA2201240530CEFL1,CE,AKD,Penthiopyrad,A,0.021,0.01,M,LU,CA,,,O,P90,52,30,,CA,,,
CA2201240530CEFL1,CE,264,Propiconazole,L,0.013,0.01,M,LU,CA,,,O,P90,52,5,,CA,,,
CA2201240530CEFL1,CE,B48,Azoxystrobin,F,0.0072,0.002,M,LU,CA,,,O,P90,52,30,,CA,,,
CA2201240610CEFL1,CE,164,Chlorothalonil,A,0.048,0.005,M,GT,CA,,,O,P90,35,15,,CA,,,
CA2201240610CEFL1,CE,539,Permethrin Total,O,0.046,0.005,M,GT,CA,,,O,P90,35,5,,CA,,,
CA2201240610CEFL1,CE,B61,Pyraclostrobin,F,0.057,0.0025,M,LU,CA,,,O,P90,52,29,,CA,,,
CA2201240610CEFL1,CE,70,Piperonyl butoxide,I,0.057,0.005,M,GT,CA,,,O,P90,35,10 FF,,CA,,,
CA2201240640CEFL1P,CE,144,Dicloran,A,0.099,0.005,M,GT,CA,,,O,P90,35,15,,CA,,,
CA2201100004BUNY1A,BU,910,"DDE p,p'",A,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1.25 AL,,CA,,,
CA2201100004BUNY1B,BU,157,Thiabendazole,B,0.018,0.0036,M,LU,CA,,,O,805,52,0.1,,CA,,,
CA2201100513BUNY1,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,,,
CA2201100532BUNY1,BU,910,"DDE p,p'",A,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1.25 AL,,CA,,,
CA2201100545BUNY1,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,,,
CA2201100546BUNY1,BU,910,"DDE p,p'",A,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1.25 AL,,CA,,,
CA2201100554BUNY1,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,,,
CA2201100569BUNY1P,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,,,
CA2201100570BUNY1,BU,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.006,0.0036,M,GT,CA,Q,,O,805,35,10,,CA,,,
CA2201100614BUNY1P,BU,70,Piperonyl butoxide,I,0.003,0.0018,M,GT,CA,Q,,O,805,35,0.25,,CA,,,
CA2201100616BUNY1P,BU,930,Bifenthrin,O,0.0018,0.0011,M,GT,CA,Q,,O,805,35,1,,CA,,,
CA2201100004BZWA1A,BZ,930,Bifenthrin,O,0.0032,0.002,M,GT,CA,,,O,805,35,1.8,,CA,,,
CA2201240017CEFL1,CE,264,Propiconazole,L,0.027,0.01,M,LU,CA,,,O,P90,52,5,,CA,,,
CA2201240090CEFL1,CE,B48,Azoxystrobin,F,0.054,0.002,M,LU,CA,,,O,P90,52,30,,CA,,,
CA2201240185CEFL1,CE,B61,Pyraclostrobin,F,0.015,0.0025,M,LU,CA,,,O,P90,52,29,,CA,,,
CA2201240199CEFL1,CE,164,Chlorothalonil,A,0.23,0.005,M,GT,CA,,,O,P90,35,15,,CA,,,
CA2201240431CEFL1,CE,B79,Trifloxystrobin,F,0.0055,0.005,M,LU,CA,,,O,P90,52,9,,CA,,,
CA2201240499CEFL1,CE,264,Propiconazole,L,0.014,0.01,M,LU,CA,,,O,P90,52,5,,CA,,,
CA2201240530CEFL1,CE,B75,Boscalid,A,0.029,0.01,M,LU,CA,,,O,P90,52,45,,CA,,,
CA2201240559CEFL1,CE,B61,Pyraclostrobin,F,0.0067,0.0025,M,LU,CA,,,O,P90,52,29,,CA,,,
CA2201240610CEFL1,CE,AKD,Penthiopyrad,A,0.051,0.01,M,LU,CA,,,O,P90,52,30,,CA,,,
CA2201240640CEFL1P,CE,539,Permethrin Total,O,0.012,0.005,M,GT,CA,,,O,P90,35,5,,CA,,,
CA2201100546CRMI1,CR,B75,Boscalid,A,0.029,0.02,M,GT,CA,,,O,805,35,2,,CA,,,
CA2201100614CRMI1,CR,AKD,Penthiopyrad,A,0.012,0.001,M,LU,CA,,,O,805,64,3,,CA,,,
CA2201100614CRMI1,CR,B75,Boscalid,A,0.055,0.02,M,GT,CA,,,O,805,35,2,,CA,,,
CA2201100614CRMI1,CR,129,Linuron,A,0.017,0.01,M,LU,CA,,,O,805,64,1,,CA,,,
CA2201100616CRMI1,CR,129,Linuron,A,0.052,0.01,M,LU,CA,,,O,805,64,1,,CA,,,
CA2201100616CRMI1,CR,B75,Boscalid,A,0.05,0.02,M,GT,CA,,,O,805,35,2,,CA,,,
CA2201100616CRMI1,CR,B61,Pyraclostrobin,F,0.006,0.005,M,LU,CA,,,O,805,64,0.4,,CA,,,
CA2201180486GROH1,GR,G03,Pydiflumetofen,A,0.0511,0.01,M,LU,CA,,,O,805,52,1.5,,CA,,,
CA2201180486GROH1,GR,B22,Cyprodinil,V,0.3472,0.005,M,LU,CA,,,O,805,52,3,,CA,,,
CA2201180486GROH1,GR,B61,Pyraclostrobin,F,0.0123,0.005,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180486GROH1,GR,A58,Tebuconazole,L,0.0284,0.002,M,LU,CA,,,O,805,52,6,,CA,,,
CA2201180486GROH1,GR,AGW,Chlorantraniliprole,I,0.0246,0.008,M,LU,CA,,,O,805,52,2.5,,CA,,,
CA2201180486GROH1,GR,ANF,Metrafenone,I,0.0172,0.005,M,LU,CA,,,O,805,52,4.5,,CA,,,
CA2201180486GROH1,GR,B23,Fludioxonil,A,0.0867,0.01,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180486GROH1,GR,B75,Boscalid,A,0.0737,0.005,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201180493GROH1,GR,G03,Pydiflumetofen,A,0.0304,0.01,M,LU,CA,,,O,805,52,1.5,,CA,,,
CA2201180493GROH1,GR,B22,Cyprodinil,V,0.3301,0.005,M,LU,CA,,,O,805,52,3,,CA,,,
CA2201180493GROH1,GR,ANF,Metrafenone,I,0.0066,0.005,M,LU,CA,,,O,805,52,4.5,,CA,,,
CA2201180493GROH1,GR,AKG,Fluopyram,A,0.0229,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180493GROH1,GR,AGW,Chlorantraniliprole,I,0.0146,0.008,M,LU,CA,,,O,805,52,2.5,,CA,,,
CA2201180493GROH1,GR,B23,Fludioxonil,A,0.0826,0.01,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180493GROH1,GR,B75,Boscalid,A,0.0379,0.005,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201180617GROH1P,GR,B23,Fludioxonil,A,0.089,0.01,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180617GROH1P,GR,B22,Cyprodinil,V,0.7627,0.005,M,LU,CA,,,O,805,52,3,,CA,,,
CA2201180617GROH1P,GR,AHM,Spirotetramat,I,0.0037,0.003,M,LU,CA,,,O,805,52,1.3,,CA,,,
CA2201180617GROH1P,GR,F96,Flutianil,A,0.0063,0.004,M,LU,CA,,,O,805,52,0.7,,CA,,,
CA2201180617GROH1P,GR,B61,Pyraclostrobin,F,0.0211,0.005,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180617GROH1P,GR,AGW,Chlorantraniliprole,I,0.0155,0.008,M,LU,CA,,,O,805,52,2.5,,CA,,,
CA2201180617GROH1P,GR,ANF,Metrafenone,I,0.0562,0.005,M,LU,CA,,,O,805,52,4.5,,CA,,,
CA2201180617GROH1P,GR,AKG,Fluopyram,A,0.0351,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180617GROH1P,GR,G03,Pydiflumetofen,A,0.0291,0.01,M,LU,CA,,,O,805,52,1.5,,CA,,,
CA2201180637GROH1B,GR,B22,Cyprodinil,V,0.3029,0.005,M,LU,CA,,,O,805,52,3,,CA,,,
CA2201180637GROH1B,GR,B23,Fludioxonil,A,0.071,0.01,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180637GROH1B,GR,AGW,Chlorantraniliprole,I,0.0128,0.008,M,LU,CA,,,O,805,52,2.5,,CA,,,
CA2201180637GROH1B,GR,ANF,Metrafenone,I,0.0109,0.005,M,LU,CA,,,O,805,52,4.5,,CA,,,
CA2201180637GROH1B,GR,AKG,Fluopyram,A,0.042,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180637GROH1B,GR,G03,Pydiflumetofen,A,0.0411,0.01,M,LU,CA,,,O,805,52,1.5,,CA,,,
CA2201180637GROH1B,GR,B75,Boscalid,A,0.0335,0.005,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201100513CRMI1,CR,B61,Pyraclostrobin,F,0.0086,0.005,M,LU,CA,,,O,805,64,0.4,,CA,,,
CA2201100545CRMI1,CR,129,Linuron,A,0.018,0.01,M,LU,CA,,,O,805,64,1,,CA,,,
CA2201100546CRMI1,CR,129,Linuron,A,0.01,0.01,M,LU,CA,,,O,805,64,1,,CA,,,
CA2201100554CRMI1,CR,626,Iprodione,A,0.083,0.015,M,GT,CA,,,O,805,35,5,,CA,,,
CA2201100614CRMI1,CR,607,Metalaxyl/Mefenoxam,F,0.015,0.015,M,GT,CA,,,O,805,35,0.5,,CA,,,
CA2201100616CRMI1,CR,AKD,Penthiopyrad,A,0.024,0.001,M,LU,CA,,,O,805,64,3,,CA,,,
CA2201180486GROH1,GR,AKG,Fluopyram,A,0.072,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201180493GROH1,GR,A58,Tebuconazole,L,0.0317,0.002,M,LU,CA,,,O,805,52,6,,CA,,,
CA2201180617GROH1P,GR,B75,Boscalid,A,0.0908,0.005,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201180637GROH1B,GR,A58,Tebuconazole,L,0.0248,0.002,M,LU,CA,,,O,805,52,6,,CA,,,
CA2201050017HZFL1P,HZ,B22,Cyprodinil,V,0.0086,0.005,M,GT,CA,,,O,P90,35,2,,CA,,,
CA2201050549HZFL1,HZ,B22,Cyprodinil,V,0.018,0.005,M,GT,CA,,,O,P90,35,2,,CA,,,
CA2201050644HZFL1P,HZ,B22,Cyprodinil,V,0.035,0.005,M,GT,CA,,,O,P90,35,2,,CA,,,
CA2201260043MUNY1A,MU,157,Thiabendazole,B,0.004,0.003,M,HR,CA,,,O,805,80,40,,CA,,,
CA2201260548MUNY1B,MU,157,Thiabendazole,B,0.024,0.003,M,HR,CA,,,O,805,80,40,,CA,,,
CA2201260572MUNY1,MU,157,Thiabendazole,B,0.25,0.003,M,HR,CA,,,O,805,80,40,,CA,,,
CA2201260613MUNY1,MU,ANF,Metrafenone,I,0.022,0.001,M,HR,CA,,,O,805,80,0.5,,CA,,,
CA2201180493PBCA1,PB,70,Piperonyl butoxide,I,0.042,0.01,M,GT,CA,,E,O,805,35,10 FF,,CA,,,
CA2201180566PBCA1P,PB,70,Piperonyl butoxide,I,0.065,0.01,M,GT,CA,,E,O,805,35,10 FF,,CA,,,
CA2201180617PBCA1P,PB,58,MGK-264,F,0.0082,0.005,M,GT,CA,,,O,805,35,5 FF,,CA,,,
CA2201180637PBCA1A,PB,70,Piperonyl butoxide,I,0.018,0.01,M,GT,CA,,E,O,805,35,10 FF,,CA,,,
CA2201180637PBCA1B,PB,70,Piperonyl butoxide,I,0.15,0.01,M,GT,CA,,E,O,805,35,10 FF,,CA,,,
CA2201030064PEOH1,PE,157,Thiabendazole,B,0.3444,0.002,M,LU,CA,,,O,805,52,10,,CA,,,
CA2201030064PEOH1,PE,B23,Fludioxonil,A,0.2444,0.01,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201030064PEOH1,PE,B84,Etoxazole,F,0.0012,0.001,M,LU,CA,,,O,805,52,0.2,,CA,,,
CA2201030064PEOH1,PE,ANC,Tolfenpyrad,I,0.0085,0.003,M,LU,CA,,,O,805,52,1,,CA,,,
CA2201030064PEOH1,PE,AKW,Fluxapyroxad,A,0.0054,0.002,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030136PEOH1A,PE,157,Thiabendazole,B,0.045,0.002,M,LU,CA,,,O,805,52,10,,CA,,,
CA2201030136PEOH1A,PE,B23,Fludioxonil,A,0.3376,0.01,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201030136PEOH1A,PE,B16,Pyrimethanil,V,0.0063,0.004,M,LU,CA,,,O,805,52,15,,CA,,,
CA2201030136PEOH1A,PE,AKW,Fluxapyroxad,A,0.0183,0.002,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030136PEOH1A,PE,B61,Pyraclostrobin,F,0.0156,0.005,M,LU,CA,,,O,805,52,1.5,,CA,,,
CA2201030216PEOH1,PE,AES,Methoxyfenozide,I,0.0017,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201030216PEOH1,PE,157,Thiabendazole,B,0.0046,0.002,M,LU,CA,,,O,805,52,10,,CA,,,
CA2201030216PEOH1,PE,ANC,Tolfenpyrad,I,0.0088,0.003,M,LU,CA,,,O,805,52,1,,CA,,,
CA2201030216PEOH1,PE,AGW,Chlorantraniliprole,I,0.0488,0.008,M,LU,CA,,,O,805,52,1.2,,CA,,,
CA2201030216PEOH1,PE,B16,Pyrimethanil,V,0.503,0.004,M,LU,CA,,,O,805,52,15,,CA,,,
CA2201030433PEOH1,PE,B16,Pyrimethanil,V,0.0281,0.004,M,LU,CA,,,O,805,52,15,,CA,,,
CA2201030473PEOH1,PE,B84,Etoxazole,F,0.016,0.001,M,LU,CA,,,O,805,52,0.2,,CA,,,
CA2201030473PEOH1,PE,B23,Fludioxonil,A,0.1818,0.01,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201030546PEOH1,PE,AKW,Fluxapyroxad,A,0.1817,0.002,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030546PEOH1,PE,B61,Pyraclostrobin,F,0.1658,0.005,M,LU,CA,,,O,805,52,1.5,,CA,,,
CA2201030546PEOH1,PE,B84,Etoxazole,F,0.0011,0.001,M,LU,CA,,,O,805,52,0.2,,CA,,,
CA2201030546PEOH1,PE,AKG,Fluopyram,A,0.0011,0.001,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030546PEOH1,PE,B16,Pyrimethanil,V,0.0169,0.004,M,LU,CA,,,O,805,52,15,,CA,,,
CA2201030546PEOH1,PE,AGW,Chlorantraniliprole,I,0.014,0.008,M,LU,CA,,,O,805,52,1.2,,CA,,,
CA2201030546PEOH1,PE,AES,Methoxyfenozide,I,0.0091,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201030546PEOH1,PE,157,Thiabendazole,B,0.0641,0.002,M,LU,CA,,,O,805,52,10,,CA,,,
CA2201030546PEOH1,PE,B85,Spirodiclofen,I,0.0274,0.004,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030546PEOH1,PE,ANC,Tolfenpyrad,I,0.0196,0.003,M,LU,CA,,,O,805,52,1,,CA,,,
CA2201030546PEOH1,PE,AHM,Spirotetramat,I,0.0193,0.003,M,LU,CA,,,O,805,52,0.7,,CA,,,
CA2201030550PEOH1,PE,B16,Pyrimethanil,V,0.0086,0.004,M,LU,CA,,,O,805,52,15,,CA,,,
CA2201030550PEOH1,PE,B23,Fludioxonil,A,0.3968,0.01,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201030606PEOH1P,PE,B23,Fludioxonil,A,0.499,0.01,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201030606PEOH1P,PE,157,Thiabendazole,B,0.8052,0.002,M,LU,CA,,,O,805,52,10,,CA,,,
CA2201030606PEOH1P,PE,AES,Methoxyfenozide,I,0.004,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201030606PEOH1P,PE,AKW,Fluxapyroxad,A,0.0077,0.002,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030606PEOH1P,PE,B85,Spirodiclofen,I,0.0067,0.004,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030606PEOH1P,PE,B61,Pyraclostrobin,F,0.0051,0.005,M,LU,CA,,,O,805,52,1.5,,CA,,,
CA2201030606PEOH1P,PE,666,Carbendazim (MBC),B,0.0546,0.01,M,LU,CA,,,O,805,52,3.0 TP,,CA,,,
CA2201030607PEOH1,PE,611,Thiophanate methyl,E,0.0109,0.007,M,LU,CA,,,O,805,52,3,,CA,,,
CA2201030607PEOH1,PE,157,Thiabendazole,B,0.2681,0.002,M,LU,CA,,,O,805,52,10,,CA,,,
CA2201030607PEOH1,PE,B84,Etoxazole,F,0.0045,0.001,M,LU,CA,,,O,805,52,0.2,,CA,,,
CA2201030624PEOH1A,PE,AES,Methoxyfenozide,I,0.0018,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201030624PEOH1A,PE,AHM,Spirotetramat,I,0.0035,0.003,M,LU,CA,,,O,805,52,0.7,,CA,,,
CA2201030624PEOH1A,PE,AGY,Spinetoram,I,0.0071,0.005,M,LU,CA,,,O,805,52,0.2,,CA,,,
CA2201030624PEOH1A,PE,B85,Spirodiclofen,I,0.0135,0.004,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030624PEOH1A,PE,ANC,Tolfenpyrad,I,0.0395,0.003,M,LU,CA,,,O,805,52,1,,CA,,,
CA2201030624PEOH1B,PE,ANC,Tolfenpyrad,I,0.0874,0.003,M,LU,CA,,,O,805,52,1,,CA,,,
CA2201030624PEOH1B,PE,B16,Pyrimethanil,V,1.6788,0.004,M,LU,CA,,,O,805,52,15,,CA,,,
CA2201030624PEOH1B,PE,AHM,Spirotetramat,I,0.0031,0.003,M,LU,CA,,,O,805,52,0.7,,CA,,,
CA2201030624PEOH1B,PE,AES,Methoxyfenozide,I,0.0021,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201030624PEOH1B,PE,B85,Spirodiclofen,I,0.0165,0.004,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030064PEOH1,PE,111,Ethoxyquin,I,0.0814,0.018,M,GT,CA,,P,O,805,35,3,,CA,,,
CA2201030136PEOH1A,PE,B85,Spirodiclofen,I,0.0125,0.004,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030216PEOH1,PE,AKG,Fluopyram,A,0.0014,0.001,M,LU,CA,,,O,805,52,0.8,,CA,,,
CA2201030433PEOH1,PE,157,Thiabendazole,B,0.0043,0.002,M,LU,CA,,,O,805,52,10,,CA,,,
CA2201030473PEOH1,PE,AES,Methoxyfenozide,I,0.0018,0.001,M,LU,CA,,,O,805,52,2,,CA,,,
CA2201030546PEOH1,PE,B23,Fludioxonil,A,1.0277,0.01,M,LU,CA,,,O,805,52,5,,CA,,,
CA2201030550PEOH1,PE,157,Thiabendazole,B,0.0026,0.002,M,LU,CA,,,O,805,52,10,,CA,,,
CA2201030606PEOH1P,PE,B16,Pyrimethanil,V,0.0484,0.004,M,LU,CA,,,O,805,52,15,,CA,,,
CA2201030607PEOH1,PE,666,Carbendazim (MBC),B,0.0176,0.01,M,LU,CA,,,O,805,52,3.0 TP,,CA,,,
CA2201030624PEOH1A,PE,B16,Pyrimethanil,V,1.4489,0.004,M,LU,CA,,,O,805,52,15,,CA,,,
CA2201030624PEOH1B,PE,AGY,Spinetoram,I,0.0095,0.005,M,LU,CA,,,O,805,52,0.2,,CA,,,
CA2201240610PUWA1,PU,B22,Cyprodinil,V,0.076,0.005,M,LU,CA,,,O,805,64,2,,CA,,,
CA2201240610PUWA1,PU,B23,Fludioxonil,A,0.3,0.025,M,GT,CA,,,O,805,35,5,,CA,,,
CA2201240610PUWA1,PU,B79,Trifloxystrobin,F,0.0018,0.0015,M,LU,CA,,,O,805,64,2,,CA,,,
CA2201240610PUWA1,PU,AES,Methoxyfenozide,I,0.017,0.0033,M,LU,CA,,,O,805,64,0.3,,CA,,,
CA2201240610PUWA1,PU,AKG,Fluopyram,A,0.013,0.005,M,LU,CA,,,O,805,64,0.5,,CA,,,
CA2201180496SSCA1,SS,967,Imidacloprid,A,0.013,0.0025,M,LU,CA,,,O,805,52,0.5,,CA,,,
CA2201180637SSCA1B,SS,AND,Propamocarb,E,0.003,0.0013,M,LU,CA,,,O,805,52,1.5,,CA,,,
CA2201180496SSCA1,SS,AKU,Cyflufenamid,I,0.01,0.0013,M,LU,CA,,,O,805,52,0.1,,CA,,,
CA2201180637SSCA1B,SS,967,Imidacloprid,A,0.0041,0.0025,M,LU,CA,,,O,805,52,0.5,,CA,,,
CA2201180637SSCA1B,SS,930,Bifenthrin,O,0.015,0.0013,M,GT,CA,,,O,805,35,0.4,,CA,,,
CA2201050651WMTX1P,WM,967,Imidacloprid,A,0.013,0.01,M,LU,CA,,,O,805,52,0.5,,CA,,,
CA2201050652WMTX1P,WM,666,Carbendazim (MBC),B,0.017,0.01,M,LU,CA,,,O,805,52,1.0 TP,,CA,,,
CA2201100570BZWA1P,BZ,B75,Boscalid,A,0.011,0.0033,M,LU,CA,,,O,805,52,13,,CA,,,
CA2201050626HZFL1,HZ,B23,Fludioxonil,A,0.0069,0.005,M,GT,CA,,,O,P90,35,5,,CA,,,
CA2201260057MUNY1A,MU,157,Thiabendazole,B,0.004,0.003,M,HR,CA,,,O,805,80,40,,CA,,,
